parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mFyBD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
mMeZS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
mMyZS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
mFBeD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
mFByD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
mMZeS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
mMZyS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
fG,gi-swester,,,,IE335,miller_old_2015,
fF,fordoro,,,,IE335,miller_old_2015,
fC,kin(d),,,,IE335,miller_old_2015,
fC,barn,,,,IE335,miller_old_2015,
fS,(gom-man)kin(d),,,,IE335,miller_old_2015,
fFM,uota,,,,IE335,miller_old_2015,
fMM,uota,,,,IE335,miller_old_2015,
fSS,nefo~nevo,,,,IE335,miller_old_2015,
fSS,eninkilī,,,,IE335,miller_old_2015,
fDS,nefo~nevo,,,,IE335,miller_old_2015,
fDS,eninkilī,,,,IE335,miller_old_2015,
fMZ,muotera,,,,IE335,miller_old_2015,
fMZ,niftila,,,,IE335,miller_old_2015,
fBS,nefo~nevo,,,,IE335,miller_old_2015,
fBD,nift(ila),,,,IE335,miller_old_2015,
fZS,nefo~nevo,,,,IE335,miller_old_2015,
fZD,nift(ila),,,,IE335,miller_old_2015,
fFBD,feterin tohter,,,,IE335,miller_old_2015,
fFBS,feterin-sun,,,,IE335,miller_old_2015,
fMZS,ōheimes-sun,,,,IE335,miller_old_2015,
fH,man,,,,IE335,miller_old_2015,
fH,hī(w)o,,,,IE335,miller_old_2015,
fH,gi-mahalo,,,,IE335,miller_old_2015,
fH,gom-man,,,,IE335,miller_old_2015,
fH,karl,,,,IE335,miller_old_2015,
fH,wirt,,,,IE335,miller_old_2015,
fW,quena,,,,IE335,miller_old_2015,
fW,wīb,,,,IE335,miller_old_2015,
fW,hī(w)a,,,,IE335,miller_old_2015,
fW,gi-mahala,,,,IE335,miller_old_2015,
fW,gi-māla,,,,IE335,miller_old_2015,
fW,gi-mahha,,,,IE335,miller_old_2015,
fW,wirtun,,,,IE335,miller_old_2015,
fW,winia,,,,IE335,miller_old_2015,
fWF,swehur,,,,IE335,miller_old_2015,
fWM,swigar,,,,IE335,miller_old_2015,
fSW,snur(a),,,,IE335,miller_old_2015,
fDH,eidum,,,,IE335,miller_old_2015,
fDH,eidim,,,,IE335,miller_old_2015,
fDH,eidem,,,,IE335,miller_old_2015,
fMeZ,muotera,,,,IE335,miller_old_2015,Inferred; NA
fMeZ,niftila,,,,IE335,miller_old_2015,Inferred; NA
fMyZ,muotera,,,,IE335,miller_old_2015,Inferred; NA
fMyZ,niftila,,,,IE335,miller_old_2015,Inferred; NA
feBS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
fyBS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
feBD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
fyBD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
feZS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
fyZS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
feZD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
fyZD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
fFeBS,feterin-sun,,,,IE335,miller_old_2015,Inferred; NA
fFyBS,feterin-sun,,,,IE335,miller_old_2015,Inferred; NA
fFeBD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
fFyBD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
fMeBS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
fMyBS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
fMeZS,muomun-sun,,,,IE335,miller_old_2015,Inferred; NA
fMyZS,muomun-sun,,,,IE335,miller_old_2015,Inferred; NA
fFBeS,feterin-sun,,,,IE335,miller_old_2015,Inferred; NA
fFByS,feterin-sun,,,,IE335,miller_old_2015,Inferred; NA
fFBeD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
fFByD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
fMBeS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
fMByS,ōheimes-sun,,,,IE335,miller_old_2015,Inferred; NA
fMZeS,muomun-sun,,,,IE335,miller_old_2015,Inferred; NA
fMZyS,muomun-sun,,,,IE335,miller_old_2015,Inferred; NA
mB,bruoder,,,,IE89(99),miller_old_2015,
mZ,swester,,,,IE89(99),miller_old_2015,
mF,fater,,,,IE89(99),miller_old_2015,
mM,muoter,,,,IE89(99),miller_old_2015,
mS,sun(u),,,,IE89(99),miller_old_2015,
mD,tohter,,,,IE89(99),miller_old_2015,
mFF,ano,,,,IE89(99),miller_old_2015,
mFM,ana,,,,IE89(99),miller_old_2015,
mMF,ano,,,,IE89(99),miller_old_2015,
mMM,ana,,,,IE89(99),miller_old_2015,
mSD,nift,,,,IE89(99),miller_old_2015,
mDD,nift,,,,IE89(99),miller_old_2015,
mFB,fetiro,,,,IE89(99),miller_old_2015,
mFZ,basa,,,,IE89(99),miller_old_2015,
mMB,ōheim,,,,IE89(99),miller_old_2015,
mMZ,muoma,,,,IE89(99),miller_old_2015,
mFBS,fetirun-sun,,,,IE89(99),miller_old_2015,
mMBS,ōheimes-sun,,,,IE89(99),miller_old_2015,
mMBS,muomun-sun,,,,IE89(99),miller_old_2015,
meB,bruoder,,,,IE89(99),miller_old_2015,Inferred; NA
myB,bruoder,,,,IE89(99),miller_old_2015,Inferred; NA
meZ,swester,,,,IE89(99),miller_old_2015,Inferred; NA
myZ,swester,,,,IE89(99),miller_old_2015,Inferred; NA
mFeB,fetiro,,,,IE89(99),miller_old_2015,Inferred; NA
mFyB,fetiro,,,,IE89(99),miller_old_2015,Inferred; NA
mFeZ,basa,,,,IE89(99),miller_old_2015,Inferred; NA
mFyZ,basa,,,,IE89(99),miller_old_2015,Inferred; NA
mMeZ,muoma,,,,IE89(99),miller_old_2015,Inferred; NA
mMyZ,muoma,,,,IE89(99),miller_old_2015,Inferred; NA
mMeB,ōheim,,,,IE89(99),miller_old_2015,Inferred; NA
mMyB,ōheim,,,,IE89(99),miller_old_2015,Inferred; NA
mFeBS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mFyBS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mMeBS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mMeBS,muomun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mMyBS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mMyBS,muomun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mFBeS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mFByS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mMBeS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
mMByS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fB,bruoder,,,,IE89(99),miller_old_2015,
fZ,swester,,,,IE89(99),miller_old_2015,
fF,fater,,,,IE89(99),miller_old_2015,
fM,muoter,,,,IE89(99),miller_old_2015,
fS,sun(u),,,,IE89(99),miller_old_2015,
fD,tohter,,,,IE89(99),miller_old_2015,
fFF,ano,,,,IE89(99),miller_old_2015,
fFM,ana,,,,IE89(99),miller_old_2015,
fMF,ano,,,,IE89(99),miller_old_2015,
fMM,ana,,,,IE89(99),miller_old_2015,
fSD,nift,,,,IE89(99),miller_old_2015,
fDD,nift,,,,IE89(99),miller_old_2015,
fFB,fetiro,,,,IE89(99),miller_old_2015,
fFZ,basa,,,,IE89(99),miller_old_2015,
fMB,ōheim,,,,IE89(99),miller_old_2015,
fMZ,muoma,,,,IE89(99),miller_old_2015,
fFBS,fetirun-sun,,,,IE89(99),miller_old_2015,
fMBS,ōheimes-sun,,,,IE89(99),miller_old_2015,
fMBS,muomun-sun,,,,IE89(99),miller_old_2015,
feB,bruoder,,,,IE89(99),miller_old_2015,Inferred; NA
fyB,bruoder,,,,IE89(99),miller_old_2015,Inferred; NA
feZ,swester,,,,IE89(99),miller_old_2015,Inferred; NA
fyZ,swester,,,,IE89(99),miller_old_2015,Inferred; NA
fFeB,fetiro,,,,IE89(99),miller_old_2015,Inferred; NA
fFyB,fetiro,,,,IE89(99),miller_old_2015,Inferred; NA
fFeZ,basa,,,,IE89(99),miller_old_2015,Inferred; NA
fFyZ,basa,,,,IE89(99),miller_old_2015,Inferred; NA
fMeZ,muoma,,,,IE89(99),miller_old_2015,Inferred; NA
fMyZ,muoma,,,,IE89(99),miller_old_2015,Inferred; NA
fMeB,ōheim,,,,IE89(99),miller_old_2015,Inferred; NA
fMyB,ōheim,,,,IE89(99),miller_old_2015,Inferred; NA
fFeBS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fFyBS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fMeBS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fMyBS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fFBeS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fFByS,fetirun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fMBeS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fMZeS,muomun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fMByS,ōheimes-sun,,,,IE89(99),miller_old_2015,Inferred; NA
fMZyS,muomun-sun,,,,IE89(99),miller_old_2015,Inferred; NA
